id,firstName,lastName,email,age,country,city,phone,address,retailerType
1,Valentino,Gomez,gonzalezvictoria@example.org,44,Argentina,Tucumán,+54 15 2496 0013,Calle Corrientes N° 784,Sports Chain
2,Rafael,Pérez,zfernandez@example.org,38,Colombia,Cartagena,573254235116,Diagonal 5ª # 8X-9,Sports Chain
3,Ángel,Osses,sperez@example.net,24,Chile,Santiago,+56 9 5210 3413,Calle Las Malvas 455 Of. 341,Online Retailer
4,Luciano,Diaz,malenaperez@example.net,45,Argentina,Buenos Aires,+54 9 3203 0564,Boulevard 6 N° 87,Department Store
5,Oswaldo,Valentín,qcollazo@example.org,42,México,Monterrey,(496)965-3287x1012,Retorno Sur Olmos 978 Interior 480,Sports Chain
6,Roxana,Jara,zapatagabriela@example.com,30,Chile,Valparaíso,+56 58 232 7048,Av. Los Girasoles 325,Independent
7,Erasmo,Mondaca,arriagadagabriel@example.org,54,Chile,Temuco,+56 45 280 3911,Luciano Silva 582,Sports Chain
8,Luciano,Vera,isoto@example.net,52,Argentina,Rosario,+54 9 3457 8713,Calle 9 N° 41,Independent
9,Anderson,Estrada,toroluz@example.org,29,Colombia,Cali,(+57)6038834738,Carrera 46 # 7-6 Sur,Department Store
10,Javier,Castrillón,ucorrea@example.org,36,Colombia,Medellín,604 906 51 33,Carrera 147 # 8-91,Online Retailer
11,Flavio,Ramos,alcoleaciro@example.org,45,Perú,Piura,+34978 73 60 26,Callejón de Ángeles Sanz 96,Online Retailer
12,Eder,Murillo,ssanchez@example.org,38,Colombia,Bogotá,018000500978,Av. calle 9ª # 9-2,Online Retailer
13,Lola,Acuña,lunaamparo@example.org,38,Argentina,Rosario,+54 15 2999 0916,Avenida San Juan N° 537,Independent
14,Maximiano,Belmonte,hildamarin@example.com,36,Perú,Lima,+34707 991 183,Acceso Socorro Bayona 55 Apt. 78 ,Superstore
15,María Luisa,Luna,perla80@example.net,42,México,Tijuana,(124)118-2449x35348,"Andador Colima 640 Edif. 052 , Depto. 427",Sports Chain
16,Jonatan,Gajardo,htoro@example.org,51,Chile,Santiago,+56 2 3780 5982,Calle Los Alerces 60,Independent
17,Cristian,Otero,isabeliborra@example.net,29,Perú,Cusco,+34 946 92 32 26,Alameda Micaela Requena 34,Department Store
18,Delfina,Maldonado,alvarezmartina@example.com,53,Argentina,Rosario,+54 9 3754 3303,Camino Río Gallegos N° 798,Sports Chain
19,Custodia,Lara,amaro14@example.org,30,Perú,Piura,+34800 196 556,Camino de Goyo Iñiguez 7,Independent
20,Yeni,Estrada,solismarcela@example.net,48,México,Tijuana,615.951.4846,Circunvalación Sur Espinosa 629 Interior 946,Sports Chain
21,Eloisa,Venegas,maestassalvador@example.org,28,México,Puebla,577.738.7214x8951,Cerrada Hidalgo 003 791,Superstore
22,Julio,Olivo,opedroza@example.net,39,México,Puebla,632.016.3287x083,"Calle Norte Tamez 957 Edif. 986 , Depto. 872",Independent
23,Giuliana,Garcia,wacosta@example.org,50,Argentina,Córdoba,+54 9 3534 7143,Camino Mar del Plata N° 47,Sports Chain
24,Héctor,Cáceres,osvaldodiaz@example.com,28,Chile,Concepción,+56 2 2736 6909,Psje. Manuel Rodríguez 968 Of. 4377,Independent
25,Agostina,Ruiz,vgonzalez@example.net,44,Argentina,Tucumán,+54 15 2172 9806,Av. 8 N° 57,Independent
26,Felipe,Ampuero,victor55@example.com,29,Chile,Valparaíso,+56 51 361 7080,Avda. Ramón Picarte 43,Online Retailer
27,Enrique,Ospina,trujillodaniela@example.com,35,Colombia,Bogotá,(+57)3074529912,Av. carrera 119 # 5-7 Sur,Superstore
28,Olga,Benavides,anabarrios@example.net,25,Colombia,Bogotá,573191905865,Cr. 1ª # 2P-7 Sur,Sports Chain
29,Maria Paz,Martin,bvega@example.org,35,Argentina,Córdoba,+54 9 3598 7769,Avenida San Miguel de Tucumán N° 84,Superstore
30,Sandra,Medina,qdonoso@example.com,35,Chile,Valparaíso,+56 42 257 3545,José Páez 4678 Of. 877,Sports Chain
31,Jesusa,Hervia,mariscalismael@example.com,31,Perú,Trujillo,+34 902957885,Acceso de Julia Santiago 54 Apt. 13 ,Superstore
32,Fernanda,Ramos,paola82@example.org,39,Colombia,Bogotá,(+57) 329 413 43 52,Cr. 52 # 1-9 Sur,Sports Chain
33,Alberto,Vela,sessasalas@example.org,38,México,Guadalajara,(777)520-4711,Avenida Sur Coronado 941 318,Department Store
34,Delia,Zelaya,,30,México,Ciudad de México,938.677.4964x9909,Viaducto Eslovenia 123 Interior 281,Sports Chain
35,Mateo,Ramirez,,42,Argentina,Tucumán,+54 9 3240 3447,Boulevard Santa Fe N° 732,Independent
